B01,97,74,Ya,Ya Hoax
B02,36,85,Ya,Ya Hoax
B03,63,43,Tidak,Tidak Hoax
B04,82,90,Ya,Ya Hoax
B05,71,25,Tidak,Tidak Hoax
B06,79,81,Ya,Ya Hoax
B07,55,62,Tidak,Tidak Hoax
B08,57,45,Tidak,Tidak Hoax
B09,40,65,Tidak,Tidak Hoax
B10,57,45,Tidak,Tidak Hoax
B11,77,70,Ya,Ya Hoax
B12,68,75,Ya,Ya Hoax
B13,60,70,Tidak,Tidak Hoax
B14,82,90,Ya,Ya Hoax
B15,40,85,Tidak,Tidak Hoax
B16,80,68,Ya,Ya Hoax
B17,60,72,Tidak,Tidak Hoax
B18,50,95,Ya,Ya Hoax
B19,100,18,Tidak,Tidak Hoax
B20,11,99,Ya,Ya Hoax
B21,58,63,,Tidak Hoax
B22,68,70,,Ya Hoax
B23,64,66,,Tidak Hoax
B24,57,77,,Tidak Hoax
B25,77,55,,Tidak Hoax
B26,98,64,,Ya Hoax
B27,91,59,,Tidak Hoax
B28,50,95,,Ya Hoax
B29,95,55,,Tidak Hoax
B30,27,79,,Ya Hoax
